"audit_date","category","workflow_step","route_or_file","api_process","provider","api_or_sdk_call","model_name","required_or_optional","trigger_condition","estimated_input_tokens_or_units","estimated_output_tokens_or_units","unit_price_basis_usd","approx_usd_per_call","storage_db_payment_cost","source_files","pricing_source_url","assumptions_and_notes","paid_models_optimizable_by_comfy","comfy_tier_1_best_models","comfy_tier_2_second_options","comfy_tier_3_last_options"
"6/26/26","Audit metadata","Global pricing assumptions","Project-wide","Cost model and source timestamp","N/A","N/A","N/A","Required for this audit","All rows use current public pricing visible on 2026-06-26","Token estimates are rounded planning estimates; 1 token ~= 4 chars for text; Gemini audio ~= 32 tokens/sec where applicable","Media units are image count, video seconds, or provider job count","N/A","N/A","N/A","package.json; .env.example; src/app/api/**; src/utils/**; src/lib/**","https://ai.google.dev/gemini-api/docs/pricing","Google, BytePlus, Stripe, Supabase, and Shotstack costs can vary by account tier, region, committed-use discounts, taxes, free tier, and future model changes.","Gemini, Veo, Seedream, and Seedance selections can be optimized per media-specific ComfyUI rows","Qwen3.5-9B, FLUX.2-Dev, Qwen-Image-2512, Wan2.2-I2V-A14B","Qwen3.5-4B, FLUX.1-dev, Qwen-Image, LTX-2.3-22B-dev","Qwen3.5-2B, FLUX.1-schnell, SDXL, Stable-Video-Diffusion-XT"
"6/26/26","Auth and project shell","User login/session","/api/auth/[...nextauth]","NextAuth credentials flow, bcrypt password check, Prisma user/project bootstrap","Postgres via Prisma","prisma.user.findUnique; prisma.project.findMany; prisma.project.create","N/A","Required when signing in","0","0","No AI token pricing","$0.00 ","Database hosting only; no per-token charge","src/app/api/auth/[...nextauth]/route.js; src/utils/prisma.js","N/A","Real cost is the database host. If DATABASE_URL points to Supabase/Postgres, plan and compute/storage pricing apply outside this route.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Auth and project shell","Dashboard project list/create","/api/dashboard/projects","Project CRUD for dashboard","Postgres via Prisma","prisma.project.findMany; prisma.project.create","N/A","Required for dashboard","0","0","No AI token pricing","$0.00 ","Database hosting only","src/app/api/dashboard/projects/route.js; src/app/api/dashboard/projects/dashboardProjectUtils.js","N/A","Includes local asset cleanup helpers on delete through utils/storage when relevant.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Auth and project shell","Dashboard project get/update/delete","/api/dashboard/projects/[projectId]","Project read/update/delete and asset cleanup","Postgres plus local storage helper","prisma.project.findUnique/update/delete; storage.from('assets').list/remove","N/A","Required for project open/save/delete","0","0","No AI token pricing","$0.00 ","Database hosting and local disk only","src/app/api/dashboard/projects/[projectId]/route.js; src/app/api/dashboard/projects/dashboardProjectUtils.js; src/utils/storage.js","N/A","Current storage helper writes under public/uploads locally; route comments mentioning Supabase do not match this helper.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Auth and project shell","Feature catalog metadata","/api/features and /api/backend/features","Return static backend capability metadata","Local Next.js API","NextResponse.json","N/A","Optional UI metadata","0","0","No external API pricing","$0.00 ","None beyond app hosting","src/app/api/features/route.js; src/app/api/backend/features/route.js; src/lib/backendCatalog.js","N/A","Included because frontend can call these route APIs, but they do not call paid providers.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Auth and project shell","Legacy/backend bridge proxy","/api/backend/[...path]","Pass-through proxy to configured backend origin","Configured backend","fetch(targetUrl(path, request))","Pass-through","Optional","Only if STUDIO_BACKEND_ORIGIN or equivalent backend origin is configured and frontend uses the proxy","Unknown","Unknown","Pass-through; depends on proxied service","Unbounded / external","Any downstream provider, infra, or legacy backend costs are outside this repo","src/app/api/backend/[...path]/route.js; .env.example","N/A","This route can hide arbitrary external costs, so it is listed separately. Audit the target backend before using it in production.","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Upload and storage","Audio upload","/api/studio/upload-audio","Upload audio file and persist audio_url","Local filesystem storage helper plus Prisma","storage.from('assets').upload; storage.getPublicUrl; prisma.project.update","N/A","Required before lyric/audio analysis when user uploads audio","0","0","No AI token pricing","$0.00 ","Local disk under public/uploads plus database row update","src/app/api/studio/upload-audio/route.js; src/utils/storage.js","N/A","Max file 200MB. Despite comments elsewhere, current helper is local filesystem, not Supabase Storage.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Audio intelligence","Analyze uploaded audio/transcript","/api/analyze","Gemini multimodal audio analysis with transcript, lyrics, timing, sections, keywords","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent([...audio inlineData...])","GOOGLE_TRANSCRIPT_MODEL or gemini-2.5-flash","Required for audio-to-analysis workflow","Example 3-min song: ~5,760 audio tokens + ~1,200 prompt text tokens","~4,000 text output tokens","Gemini 2.5 Flash: audio input $1.00/M tokens, text/image/video input $0.30/M, output $2.50/M","~$0.016 per 3-min track; formula: seconds*32*$1/M + text_in*$0.30/M + out*$2.50/M","Prisma project update only","src/app/api/analyze/route.js; src/utils/googleModelFallbacks.js; .env.example","https://ai.google.dev/gemini-api/docs/pricing","Costs scale linearly with audio duration and transcript JSON verbosity.","","Gemini audio/transcript analysis can be replaced with Whisper transcription plus local LLM analysis","Whisper-large-v3-turbo, Whisper-large-v3, WhisperX-large-v3","faster-whisper-large-v3, Whisper-medium, NVIDIA-Parakeet-TDT-0.6B via custom node","Whisper-small, Whisper-base, whisper.cpp-small.en"
"6/26/26","Script intake","Script file upload wrapper","/api/studio/extract-script","Store script file, call extractor route, persist extracted script state","Local filesystem storage helper; internal Next.js API; Prisma","storage.from('assets').upload; fetch('/api/extract-script-file'); prisma.project.update","N/A wrapper; extractor model row below","Required when uploading script file","0 directly","0 directly","No model cost in wrapper","$0.000 + extractor row when extraction succeeds","Local disk plus database row update","src/app/api/studio/extract-script/route.js; src/utils/storage.js","N/A","Wrapper itself has no AI cost but forwards to /api/extract-script-file, which can call Gemini.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Script intake","Extract TXT/MD script file","/api/extract-script-file","Clean and summarize uploaded text script","Google Gemini API or local fallback","ai.models.generateContent({ model, contents })","GOOGLE_SCRIPT_FILE_MODEL or gemini-2.5-flash","Optional if text upload; fallback if Google key absent","~12,000 text tokens max from truncated raw text plus prompt","~1,500 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.007","None beyond wrapper persistence","src/app/api/extract-script-file/route.js; .env.example","https://ai.google.dev/gemini-api/docs/pricing","If GOOGLE_AI_API_KEY is missing, text files use a zero-cost local fallback with lower semantic extraction quality.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
